relative_path,absolute_source_path,file_name,extension,size_bytes,modified_time,sha256,category,suspected_duplicate_of,upload_candidate,readable,notes
.DS_Store,E:\大学\竞赛\软件杯\知识库文档\.DS_Store,.DS_Store,.DS_Store,8196,2026-06-04T00:22:09.088842+00:00,6ca4ed3467966e6ae63b6d262383bfcb2529146e3f2dea0ecd20d0c58df0d4c9,OS_METADATA,,False,True,operating-system metadata; never upload
SUN2000-196KTL-H0++用户手册.md,E:\大学\竞赛\软件杯\知识库文档\SUN2000-196KTL-H0++用户手册.md,SUN2000-196KTL-H0++用户手册.md,.md,194174,2026-07-06T07:48:43.505612+00:00,b78212a0cb40691445aa50dec0d5da5497b02612f4605e855376dc21feea3605,HUAWEI_DOCUMENT,,True,True,
"华为 Huawei _ SUN2000/SUN2000-(15KTL, 17KTL, 20KTL)-M0 用户手册（中国版）.pdf","E:\大学\竞赛\软件杯\知识库文档\华为 Huawei _ SUN2000\SUN2000-(15KTL, 17KTL, 20KTL)-M0 用户手册（中国版）.pdf","SUN2000-(15KTL, 17KTL, 20KTL)-M0 用户手册（中国版）.pdf",.pdf,3596647,2026-06-04T00:11:19.689660+00:00,8390549740e471ea04865fcdce5d254895e6383fbe72f0fd9a262481d6b6a9ba,HUAWEI_DOCUMENT,,True,True,
"华为 Huawei _ SUN2000/SUN2000-(20KTL-M3, 33KTL-NH, 40KTL-NH) 快速指南-(Amphenol).pdf","E:\大学\竞赛\软件杯\知识库文档\华为 Huawei _ SUN2000\SUN2000-(20KTL-M3, 33KTL-NH, 40KTL-NH) 快速指南-(Amphenol).pdf","SUN2000-(20KTL-M3, 33KTL-NH, 40KTL-NH) 快速指南-(Amphenol).pdf",.pdf,3769555,2025-08-19T08:18:24+00:00,a040246b594e75624246e9d6d98ea1d4cfbb20ae7794932260e8e1ff5397c524,HUAWEI_DOCUMENT,,True,True,
"华为 Huawei _ SUN2000/SUN2000-(20KTL-M3, 33KTL-NH, 40KTL-NH) 用户手册.pdf","E:\大学\竞赛\软件杯\知识库文档\华为 Huawei _ SUN2000\SUN2000-(20KTL-M3, 33KTL-NH, 40KTL-NH) 用户手册.pdf","SUN2000-(20KTL-M3, 33KTL-NH, 40KTL-NH) 用户手册.pdf",.pdf,5829351,2026-06-04T00:09:58.930526+00:00,65516280d5c1012b52a74f9b9a4ece2528587ccf5f0c86097000fa302bdabe3c,HUAWEI_DOCUMENT,,True,True,
华为 Huawei _ SUN2000/SUN2000-(5KTL-12KTL)-M0 用户手册（中国版）.pdf,E:\大学\竞赛\软件杯\知识库文档\华为 Huawei _ SUN2000\SUN2000-(5KTL-12KTL)-M0 用户手册（中国版）.pdf,SUN2000-(5KTL-12KTL)-M0 用户手册（中国版）.pdf,.pdf,4191092,2026-06-04T00:11:55.452067+00:00,54781c9c2be8b510f76d9843325d9d1d72f557d45ae97664496e2dc2750eb24a,HUAWEI_DOCUMENT,,True,True,
华为 Huawei _ SUN2000/SUN2000-(5KTL-12KTL)-M1 用户手册.pdf,E:\大学\竞赛\软件杯\知识库文档\华为 Huawei _ SUN2000\SUN2000-(5KTL-12KTL)-M1 用户手册.pdf,SUN2000-(5KTL-12KTL)-M1 用户手册.pdf,.pdf,5719757,2026-06-04T00:12:40.558467+00:00,80c34d353f087f594aed24b6142fbf3a1b72190a0e1740ba8e1d0f48d7b51cbe,HUAWEI_DOCUMENT,,True,True,
华为 Huawei _ SUN2000/SUN2000-(8KTL-20KTL)-M2 用户手册.pdf,E:\大学\竞赛\软件杯\知识库文档\华为 Huawei _ SUN2000\SUN2000-(8KTL-20KTL)-M2 用户手册.pdf,SUN2000-(8KTL-20KTL)-M2 用户手册.pdf,.pdf,4885642,2026-06-04T00:08:17.657204+00:00,8f0a0f69e406e4a0c4fac775369bff1295e79c582d45e28838440f1f6161a26a,HUAWEI_DOCUMENT,,True,True,
华为 Huawei _ SUN2000/华为智能光伏App，SUN2000 App 设备调测指南.pdf,E:\大学\竞赛\软件杯\知识库文档\华为 Huawei _ SUN2000\华为智能光伏App，SUN2000 App 设备调测指南.pdf,华为智能光伏App，SUN2000 App 设备调测指南.pdf,.pdf,23878152,2026-06-04T00:14:58.056900+00:00,72dbdffa350923fef1195a4739c1019ac1ff226aef206f2c10aafe59acadd91c,HUAWEI_DOCUMENT,,True,True,
华为 Huawei _ SUN2000/智能光伏解决方案设备替换 调测指南.pdf,E:\大学\竞赛\软件杯\知识库文档\华为 Huawei _ SUN2000\智能光伏解决方案设备替换 调测指南.pdf,智能光伏解决方案设备替换 调测指南.pdf,.pdf,2317063,2026-06-04T00:15:42.261628+00:00,95a079fc562a0f5c98b8151fcdedc1b8fde62b18282fb2605d9bec91618453f2,HUAWEI_DOCUMENT,,True,True,
